provincia	cod_provincia	aglomerado	cod_aglomerado	hogar	grupo	minimo	maximo	SMVM
CABA	1	CIUDAD DE BUENOS AIRES	1	1	1	0	7000	0.36
CABA	1	CIUDAD DE BUENOS AIRES	1	1	2	7000	10000	0.84
CABA	1	CIUDAD DE BUENOS AIRES	1	1	3	10000	15000	1.24
CABA	1	CIUDAD DE BUENOS AIRES	1	1	4	15000	18000	1.51
CABA	1	CIUDAD DE BUENOS AIRES	1	1	5	18000	20000	1.83
CABA	1	CIUDAD DE BUENOS AIRES	1	1	6	20000	25000	2.11
CABA	1	CIUDAD DE BUENOS AIRES	1	1	7	25000	30000	2.52
CABA	1	CIUDAD DE BUENOS AIRES	1	1	8	30000	35000	2.98
CABA	1	CIUDAD DE BUENOS AIRES	1	1	9	35000	45000	3.71
CABA	1	CIUDAD DE BUENOS AIRES	1	1	10	45000	200000	5.82
CABA	1	CIUDAD DE BUENOS AIRES	1	2	1	0	14000	0.57
CABA	1	CIUDAD DE BUENOS AIRES	1	2	2	14000	18000	0.85
CABA	1	CIUDAD DE BUENOS AIRES	1	2	3	18000	24000	0.99
CABA	1	CIUDAD DE BUENOS AIRES	1	2	4	24000	28800	1.33
CABA	1	CIUDAD DE BUENOS AIRES	1	2	5	28800	35000	1.71
CABA	1	CIUDAD DE BUENOS AIRES	1	2	6	35000	42000	1.82
CABA	1	CIUDAD DE BUENOS AIRES	1	2	7	42000	50000	2.00
CABA	1	CIUDAD DE BUENOS AIRES	1	2	8	50000	62500	2.51
CABA	1	CIUDAD DE BUENOS AIRES	1	2	9	62500	80000	3.48
CABA	1	CIUDAD DE BUENOS AIRES	1	2	10	80000	367000	3.67
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	1	1	0	5000	0.25
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	1	2	5000	8000	0.59
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	1	3	8000	11000	0.87
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	1	4	11000	15000	1.24
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	1	5	15000	17000	1.48
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	1	6	17000	20000	1.75
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	1	7	20000	23000	1.93
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	1	8	23000	28000	2.38
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	1	9	29000	40000	3.07
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	1	10	40000	100000	4.91
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	2	1	1400	10000	0.38
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	2	2	10000	15000	0.64
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	2	3	15000	18000	0.72
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	2	4	18000	20500	0.71
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	2	5	20500	26000	0.83
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	2	6	26000	33000	1.01
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	2	7	33000	40000	1.15
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	2	8	40000	51300	1.38
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	2	9	52000	70000	1.71
Buenos Aires	2	BAHÍA BLANCA - CERRI	2	2	10	70000	131000	2.28
Buenos Aires	2	GRAN LA PLATA	3	1	1	0	4800	0.27
Buenos Aires	2	GRAN LA PLATA	3	1	2	4800	7200	0.56
Buenos Aires	2	GRAN LA PLATA	3	1	3	7200	10000	0.83
Buenos Aires	2	GRAN LA PLATA	3	1	4	10000	12000	1.05
Buenos Aires	2	GRAN LA PLATA	3	1	5	12000	15000	1.31
Buenos Aires	2	GRAN LA PLATA	3	1	6	15000	18000	1.53
Buenos Aires	2	GRAN LA PLATA	3	1	7	18000	20000	1.84
Buenos Aires	2	GRAN LA PLATA	3	1	8	20000	25000	2.14
Buenos Aires	2	GRAN LA PLATA	3	1	9	25000	30000	2.65
Buenos Aires	2	GRAN LA PLATA	3	1	10	30000	100000	4.15
Buenos Aires	2	GRAN LA PLATA	3	2	1	0	10000	0.26
Buenos Aires	2	GRAN LA PLATA	3	2	2	10000	15000	0.54
Buenos Aires	2	GRAN LA PLATA	3	2	3	15000	18000	0.68
Buenos Aires	2	GRAN LA PLATA	3	2	4	18000	22200	0.71
Buenos Aires	2	GRAN LA PLATA	3	2	5	22200	26000	0.70
Buenos Aires	2	GRAN LA PLATA	3	2	6	26000	34000	0.93
Buenos Aires	2	GRAN LA PLATA	3	2	7	34000	39000	1.06
Buenos Aires	2	GRAN LA PLATA	3	2	8	39000	49000	1.25
Buenos Aires	2	GRAN LA PLATA	3	2	9	49000	64000	1.48
Buenos Aires	2	GRAN LA PLATA	3	2	10	64000	140000	2.45
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	1	1	0	4000	0.21
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	1	2	4000	8000	0.58
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	1	3	8000	10000	0.86
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	1	4	10000	12000	1.07
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	1	5	12000	15000	1.33
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	1	6	15000	20000	1.62
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	1	7	20000	21000	1.90
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	1	8	21000	27000	2.24
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	1	9	27000	40000	2.96
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	1	10	40000	300000	6.04
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	2	1	0	8600	0.32
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	2	2	8600	15000	0.48
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	2	3	15000	17800	0.77
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	2	4	17800	20800	0.76
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	2	5	20800	25000	0.94
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	2	6	25000	31000	0.95
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	2	7	31000	37000	0.98
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	2	8	37000	47000	1.30
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	2	9	47000	69000	1.62
Buenos Aires	2	MAR DEL PLATA - BATÁN	4	2	10	69000	320000	3.34
Buenos Aires	2	PARTIDOS DEL GBA	5	1	1	0	4000	0.22
Buenos Aires	2	PARTIDOS DEL GBA	5	1	2	4000	6500	0.50
Buenos Aires	2	PARTIDOS DEL GBA	5	1	3	6500	10000	0.77
Buenos Aires	2	PARTIDOS DEL GBA	5	1	4	10000	12000	1.01
Buenos Aires	2	PARTIDOS DEL GBA	5	1	5	12000	15000	1.28
Buenos Aires	2	PARTIDOS DEL GBA	5	1	6	15000	18000	1.51
Buenos Aires	2	PARTIDOS DEL GBA	5	1	7	18000	20000	1.81
Buenos Aires	2	PARTIDOS DEL GBA	5	1	8	20000	25000	2.07
Buenos Aires	2	PARTIDOS DEL GBA	5	1	9	25000	30000	2.61
Buenos Aires	2	PARTIDOS DEL GBA	5	1	10	30000	400000	4.50
Buenos Aires	2	PARTIDOS DEL GBA	5	2	1	0	8800	0.24
Buenos Aires	2	PARTIDOS DEL GBA	5	2	2	8800	14000	0.40
Buenos Aires	2	PARTIDOS DEL GBA	5	2	3	14000	17150	0.53
Buenos Aires	2	PARTIDOS DEL GBA	5	2	4	17150	21000	0.56
Buenos Aires	2	PARTIDOS DEL GBA	5	2	5	21000	25200	0.69
